acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2015-01-14,24,13.549999999999999,,
2015-01-20,12,25.8,,
2015-02-06,24,31.599999999999998,,
2015-02-08,24,24.95,,
2015-02-09,48,54.650000000000006,,
2015-02-10,48,6.775000000000001,,
2015-02-11,72,12.95,,
2015-02-12,12,36.6,,
2015-02-13,36,9.233333333333333,,
2015-02-14,12,14.9,,
2015-02-17,36,15.366666666666667,,
2015-02-18,48,8.775,,
2015-02-19,72,41.63333333333334,,
2015-03-05,12,13.1,,
2015-03-09,12,7.900000000000001,,
2015-03-10,12,7.7,,
2015-03-12,12,3.4,,
2015-03-14,108,21.144444444444442,,
2015-03-15,84,27.37142857142857,,
2015-03-16,84,17.585714285714285,,
2015-03-17,96,32.0875,,
2015-03-18,24,41.699999999999996,,
2015-03-21,144,17.85,,
2015-03-22,24,69.4,,
2015-03-23,72,19.68333333333333,,
2015-03-24,48,19.95,,
2015-03-26,108,17.066666666666666,,
2015-03-27,72,40.38333333333333,,
2015-03-28,300,43.672000000000004,,
2015-03-29,48,30.725000000000005,,
2015-03-30,96,34.5875,,
2015-03-31,204,94.54705882352941,,
2015-04-02,36,36.4,,
2015-04-04,24,5.550000000000001,,
2015-04-05,24,14.200000000000001,,
2015-04-06,48,6.7,,
2015-04-07,24,36.35,,
2015-04-08,12,9.8,,
2015-04-09,60,40.68,,
2015-04-10,84,68.22857142857143,,
2015-04-11,120,63.14,,
2015-04-12,84,92.17142857142858,,
2015-04-13,60,47.18,,
2015-04-14,108,61.81111111111112,,
2015-04-15,36,16.933333333333334,,
2015-04-17,36,8.566666666666666,,
2015-04-21,24,13.050000000000002,,
2015-04-22,12,12.0,,
2015-04-23,24,22.8,,
2015-04-28,36,56.63333333333334,,
2015-04-29,36,37.53333333333333,,
2015-04-30,48,78.475,,
2015-05-01,12,21.899999999999995,,
2015-05-02,12,94.3,,
2015-05-03,24,27.650000000000002,,
2015-05-17,12,8.5,,
2015-05-26,72,14.600000000000001,,
2015-05-29,12,6.3,,
2015-05-30,108,39.93333333333334,,
2015-06-02,36,14.899999999999999,,
2015-06-04,24,34.449999999999996,,
2015-06-08,60,62.88,,
2015-06-09,24,32.0,,
2015-06-10,60,41.22,,
2015-06-11,96,32.199999999999996,,
2015-06-12,12,6.900000000000001,,
2015-06-27,12,6.400000000000001,,
2015-06-28,60,43.480000000000004,,
2015-06-29,12,17.0,,
2015-07-02,12,6.0,,
2015-07-11,12,7.7,,
2015-07-13,12,48.70000000000001,,
2015-07-14,24,18.95,,
2015-07-17,12,93.59999999999998,,
2015-07-18,48,24.724999999999998,,
2015-07-23,12,14.9,,
2015-07-25,12,12.699999999999998,,
2015-07-28,12,32.7,,
2015-07-30,36,29.066666666666663,,
2015-08-01,12,18.1,-246.72574,0.19852497
2015-08-06,24,42.949999999999996,-245.1561,0.178211
2015-08-07,12,13.699999999999998,-245.14081,0.17394939
2015-08-10,24,80.6,-245.66983,0.18015899
2015-08-17,24,17.4,-246.0303,0.17749275
2015-08-21,24,10.200000000000001,-247.1586,0.18539144
2015-08-22,12,16.1,-246.70486,0.18157315
2015-08-24,24,63.349999999999994,-247.90295,0.18573813
2015-08-26,36,26.6,-246.944,0.1735253
2015-08-27,12,28.399999999999995,-247.06973,0.17854153
2015-08-29,24,25.75,-247.31116,0.17124197
2015-09-01,12,8.1,,
2015-09-08,12,14.1,,
2015-09-09,24,11.25,,
2015-09-10,48,36.175,,
2015-09-11,48,101.52499999999999,,
2015-09-12,36,134.5,,
2015-09-16,12,10.1,,
2015-09-17,24,52.65,,
2015-09-18,288,153.525,,
2015-09-21,24,14.450000000000001,,
2015-09-24,24,11.35,,
2015-09-25,12,36.8,,
2015-09-27,24,40.800000000000004,,
2015-09-28,60,88.32,,
2015-10-03,84,75.08571428571429,,
2015-10-06,12,18.2,,
2015-10-08,12,13.1,,
2015-10-09,48,54.699999999999996,,
2015-10-10,60,57.98,,
2015-10-12,12,23.3,,
2015-10-13,96,43.512499999999996,,
2015-10-14,204,91.5,,
2015-10-15,312,51.580769230769235,,
2015-10-16,132,58.46363636363636,,
2015-10-22,12,3.2999999999999994,,
2015-10-24,36,42.4,,
2015-10-27,24,5.6000000000000005,,
2015-10-29,48,10.65,,
2015-11-02,108,17.988888888888887,,
2015-11-03,72,21.066666666666666,,
2015-11-06,12,5.3,,
2015-11-09,84,82.42857142857143,,
2015-11-10,168,40.92857142857143,,
2015-11-12,24,15.050000000000002,,
2015-11-13,12,20.7,,
2015-11-14,24,8.4,,
2015-11-15,12,50.70000000000001,,
2015-11-17,12,317.5,,
2015-11-18,12,21.8,,
2015-11-19,12,9.4,,
2015-11-20,84,66.17142857142856,,
2015-11-23,24,21.650000000000002,,
2015-11-24,24,35.25,,
2015-11-25,24,69.65,,
2015-12-01,12,28.899999999999995,,
2015-12-11,24,10.850000000000001,,
2015-12-30,12,12.199999999999998,,
2016-01-12,12,17.5,,
2016-01-21,36,32.333333333333336,,
2016-01-22,36,20.833333333333332,,
2016-01-26,24,21.0,,
2016-01-28,12,20.2,,
2016-01-29,132,334.8,,
2016-02-16,12,6.8,,
2016-02-20,24,69.7,,
2016-02-23,24,26.05,,
2016-02-24,12,19.2,,
2016-02-25,72,9.95,,
2016-02-26,108,36.166666666666664,,
2016-02-28,36,34.13333333333333,,
2016-02-29,60,18.959999999999997,,
2016-03-02,132,60.4,,
2016-03-03,84,14.185714285714285,,
2016-03-04,60,10.26,,
2016-03-08,12,17.3,,
2016-03-09,60,10.879999999999999,,
2016-03-10,96,20.45,,
2016-03-11,12,8.5,,
2016-03-12,108,24.43333333333333,,
2016-03-13,96,26.337500000000002,,
2016-03-14,36,6.300000000000001,,
2016-03-15,48,68.925,,
2016-03-16,36,12.666666666666666,,
2016-03-17,168,36.51428571428571,,
2016-03-18,24,13.0,,
2016-03-20,12,8.2,,
2016-04-01,24,17.400000000000002,,
2016-04-02,48,30.8,,
2016-04-03,180,88.32000000000001,,
2016-04-04,36,14.566666666666666,,
2016-04-06,132,47.99090909090909,,
2016-04-07,60,34.879999999999995,,
2016-04-10,12,7.8,,
2016-04-11,24,49.949999999999996,,
2016-04-13,24,32.85,,
2016-04-14,84,50.68571428571429,,
2016-04-22,24,12.700000000000001,,
2016-05-02,12,13.6,,
2016-05-03,24,5.1,,
2016-05-04,36,23.966666666666665,,
2016-05-05,12,11.0,,
2016-05-10,36,36.8,,
2016-05-11,24,29.95,,
2016-05-12,36,4.166666666666667,,
2016-05-13,24,43.150000000000006,,
2016-05-20,24,33.2,,
2016-05-21,60,22.06,,
2016-05-23,12,34.3,,
2016-05-24,12,27.600000000000005,,
2016-05-25,12,79.7,,
2016-05-26,72,32.81666666666666,,
2016-05-28,60,15.2,,
2016-05-29,48,38.375,,
2016-06-02,12,6.7,,
2016-06-03,12,13.300000000000002,,
2016-06-06,24,66.15,,
2016-06-16,300,113.048,,
2016-06-17,36,68.83333333333333,,
2016-06-18,36,10.633333333333333,,
2016-06-19,48,21.125,,
2016-06-20,204,125.21176470588236,,
2016-06-21,432,492.3611111111111,,
2016-06-22,288,182.05416666666667,,
2016-06-23,48,40.375,,
2016-06-24,48,106.8,,
2016-06-25,72,119.28333333333333,,
2016-06-26,156,75.46153846153847,,
2016-06-27,204,191.85294117647058,,
2016-06-28,444,110.10810810810811,,
2016-06-29,120,34.07,,
2016-07-06,24,10.25,,
2016-07-07,24,25.0,,
2016-07-08,120,64.92,,
2016-07-09,384,76.2,,
2016-07-10,300,488.20400000000006,,
2016-07-11,1908,177.0440251572327,,
2016-07-12,360,241.23666666666665,,
2016-07-13,336,197.48214285714286,,
2016-07-14,180,61.35333333333334,,
2016-07-15,168,48.207142857142856,,
2016-07-16,216,109.3111111111111,,
2016-07-17,360,228.5533333333333,,
2016-07-18,180,37.38666666666667,,
2016-07-20,60,52.4,,
2016-07-22,72,54.35,,
2016-07-24,12,13.300000000000002,,
2016-07-25,60,33.96,,
2016-07-27,492,79.6219512195122,,
2016-07-28,384,66.89375,,
2016-07-29,240,41.3,,
2016-07-30,252,65.33809523809524,,
2016-07-31,120,107.6,,
2016-08-01,432,324.8111111111111,,
2016-08-02,96,271.71250000000003,,
2016-08-03,72,27.21666666666667,,
2016-08-04,36,23.46666666666667,,
2016-08-08,12,52.0,,
2016-08-10,24,109.25,,
2016-08-12,24,14.050000000000002,,
2016-08-13,48,21.099999999999998,,
2016-08-14,60,64.39999999999999,,
2016-08-15,12,10.6,,
2016-08-17,24,20.650000000000002,,
2016-08-20,12,43.5,,
2016-08-21,84,39.87142857142857,,
2016-08-23,108,61.577777777777776,,
2016-08-25,84,48.58571428571428,,
2016-08-27,12,9.8,,
2016-08-30,12,25.5,,
2016-09-03,12,79.6,,
2016-09-04,84,77.02857142857142,,
2016-09-05,12,13.1,,
2016-09-06,96,52.512499999999996,,
2016-09-07,60,50.080000000000005,,
2016-09-08,168,78.8,,
2016-09-09,252,67.89523809523808,,
2016-09-10,96,68.4,,
2016-09-11,492,162.99512195121952,,
2016-09-12,96,43.050000000000004,,
2016-09-15,72,33.46666666666667,,
2016-09-16,132,32.381818181818176,,
2016-09-17,24,11.799999999999999,,
2016-09-18,120,45.519999999999996,,
2016-09-19,24,60.4,,
2016-09-22,12,12.199999999999998,,
2016-09-25,12,10.0,,
2016-09-26,24,10.0,,
2016-09-28,168,59.457142857142856,,
2016-09-29,36,20.8,,
2016-10-04,108,28.72222222222222,,
2016-10-05,24,177.04999999999998,,
2016-10-07,12,8.2,,
2016-10-08,168,59.457142857142856,,
2016-10-09,36,61.633333333333326,,
2016-10-10,48,38.0,,
2016-10-12,12,28.0,,
2016-10-13,156,26.46923076923077,,
2016-10-14,36,18.400000000000002,,
2016-10-15,60,22.3,,
2016-10-17,960,139.74125,,
2016-10-18,168,42.80714285714286,,
2016-10-19,48,20.625,,
2016-10-20,12,33.2,,
2016-10-22,156,82.77692307692308,,
2016-10-23,12,8.9,,
2016-10-24,24,39.199999999999996,,
2016-10-27,24,33.85,,
2016-10-28,24,16.15,,
2016-10-31,48,19.25,,
2016-11-02,36,15.5,,
2016-11-03,36,14.1,,
2016-11-05,12,57.29999999999999,,
2016-11-08,24,19.75,,
2016-11-09,24,4.6000000000000005,,
