"alert__week","alert__year","alert__count","confidence__cat"
36,2025,22,"n"
35,2025,6,"n"
34,2025,514,"n"
34,2025,11,"l"
34,2025,41,"h"
33,2025,109,"h"
33,2025,20,"l"
33,2025,1176,"n"
32,2025,316,"h"
32,2025,1841,"n"
32,2025,335,"l"
31,2025,230,"n"
31,2025,37,"l"
31,2025,56,"h"
30,2025,13,"h"
30,2025,281,"n"
30,2025,26,"l"
29,2025,370,"n"
29,2025,50,"l"
29,2025,37,"h"
28,2025,46,"h"
28,2025,393,"n"
28,2025,45,"l"
27,2025,2,"h"
27,2025,23,"n"
27,2025,1,"l"
26,2025,5,"l"
26,2025,55,"n"
26,2025,6,"h"
25,2025,28,"n"
24,2025,1,"l"
24,2025,28,"n"
23,2025,19,"n"
22,2025,10,"l"
22,2025,7,"h"
22,2025,63,"n"
21,2025,2,"l"
21,2025,34,"n"
21,2025,5,"h"
20,2025,37,"n"
20,2025,1,"l"
20,2025,4,"h"
19,2025,1,"l"
19,2025,12,"n"
18,2025,15,"n"
18,2025,1,"l"
17,2025,20,"n"
17,2025,6,"l"
17,2025,3,"h"
16,2025,12,"l"
16,2025,41,"n"
16,2025,16,"h"
15,2025,76,"n"
15,2025,10,"l"
14,2025,1,"l"
14,2025,11,"n"
13,2025,2,"h"
13,2025,75,"n"
13,2025,11,"l"
12,2025,20,"h"
12,2025,6,"l"
12,2025,69,"n"
11,2025,18,"h"
11,2025,2,"l"
11,2025,57,"n"
10,2025,40,"n"
10,2025,9,"h"
10,2025,2,"l"
9,2025,5,"l"
9,2025,4,"h"
9,2025,50,"n"
8,2025,14,"n"
7,2025,4,"n"
6,2025,18,"n"
6,2025,1,"h"
5,2025,3,"l"
5,2025,41,"n"
4,2025,12,"n"
4,2025,4,"l"
3,2025,51,"n"
3,2025,1,"l"
2,2025,12,"n"
1,2025,2,"n"
52,2024,1,"n"
51,2024,4,"l"
51,2024,30,"n"
50,2024,19,"n"
49,2024,47,"n"
48,2024,8,"n"
47,2024,6,"l"
47,2024,57,"n"
46,2024,25,"n"
44,2024,21,"n"
43,2024,21,"n"
42,2024,18,"n"
42,2024,2,"h"
42,2024,1,"l"
41,2024,31,"n"
40,2024,82,"n"
40,2024,5,"h"
40,2024,2,"l"
39,2024,5,"n"
38,2024,30,"n"
38,2024,1,"l"
37,2024,7,"h"
37,2024,7,"l"
37,2024,95,"n"
36,2024,3,"h"
36,2024,1,"l"
36,2024,24,"n"
35,2024,15,"n"
35,2024,3,"l"
34,2024,17,"n"
34,2024,1,"l"
33,2024,1,"l"
33,2024,1,"h"
33,2024,14,"n"
32,2024,4,"h"
32,2024,57,"n"
32,2024,6,"l"
31,2024,87,"h"
31,2024,668,"n"
31,2024,35,"l"
30,2024,10,"n"
29,2024,15,"n"
29,2024,1,"l"
28,2024,1,"l"
28,2024,13,"n"
27,2024,38,"n"
27,2024,2,"l"
26,2024,6,"l"
26,2024,15,"h"
26,2024,79,"n"
25,2024,18,"n"
24,2024,94,"n"
24,2024,7,"l"
24,2024,10,"h"
23,2024,1,"l"
23,2024,41,"n"
23,2024,8,"h"
22,2024,10,"n"
21,2024,93,"n"
21,2024,2,"l"
21,2024,23,"h"
20,2024,1,"h"
20,2024,38,"n"
20,2024,2,"l"
19,2024,9,"n"
19,2024,2,"h"
19,2024,1,"l"
18,2024,14,"n"
18,2024,1,"l"
17,2024,27,"n"
17,2024,6,"h"
17,2024,3,"l"
16,2024,8,"h"
16,2024,3,"l"
16,2024,45,"n"
15,2024,4,"h"
15,2024,5,"l"
15,2024,47,"n"
14,2024,6,"l"
14,2024,2,"h"
14,2024,33,"n"
13,2024,8,"n"
12,2024,7,"l"
12,2024,67,"n"
12,2024,11,"h"
11,2024,10,"n"
10,2024,27,"n"
10,2024,1,"l"
9,2024,2,"h"
9,2024,73,"n"
9,2024,9,"l"
8,2024,30,"n"
8,2024,1,"h"
8,2024,6,"l"
7,2024,5,"l"
7,2024,31,"n"
6,2024,2,"h"
6,2024,21,"n"
5,2024,4,"h"
5,2024,3,"l"
5,2024,22,"n"
4,2024,1,"l"
4,2024,8,"n"
3,2024,3,"n"
2,2024,7,"n"
1,2024,6,"n"
52,2023,5,"n"
51,2023,22,"n"
51,2023,1,"l"
50,2023,1,"l"
50,2023,40,"n"
50,2023,3,"h"
49,2023,2,"l"
49,2023,52,"n"
48,2023,3,"l"
48,2023,44,"n"
47,2023,17,"n"
46,2023,32,"n"
46,2023,2,"l"
46,2023,2,"h"
45,2023,25,"n"
44,2023,1,"l"
44,2023,23,"n"
43,2023,14,"h"
43,2023,1,"l"
43,2023,118,"n"
42,2023,13,"h"
42,2023,1,"l"
42,2023,201,"n"
41,2023,5,"h"
41,2023,69,"n"
40,2023,39,"n"
39,2023,15,"l"
39,2023,300,"n"
39,2023,67,"h"
38,2023,4,"l"
38,2023,59,"n"
38,2023,8,"h"
37,2023,19,"n"
36,2023,20,"l"
36,2023,274,"n"
36,2023,9,"h"
35,2023,2,"l"
35,2023,3,"h"
35,2023,28,"n"
34,2023,74,"n"
34,2023,3,"l"
34,2023,3,"h"
33,2023,12,"h"
33,2023,95,"n"
33,2023,14,"l"
32,2023,239,"n"
32,2023,7,"l"
32,2023,4,"h"
31,2023,10,"l"
31,2023,85,"n"
31,2023,6,"h"
30,2023,4,"h"
30,2023,64,"n"
30,2023,2,"l"
29,2023,1,"h"
29,2023,26,"n"
28,2023,2,"l"
28,2023,33,"n"
27,2023,5,"h"
27,2023,5,"l"
27,2023,20,"n"
26,2023,17,"h"
26,2023,5,"l"
26,2023,215,"n"
25,2023,53,"n"
24,2023,21,"n"
24,2023,1,"l"
23,2023,1,"l"
23,2023,12,"n"
22,2023,1,"h"
22,2023,1,"l"
22,2023,26,"n"
21,2023,31,"n"
20,2023,16,"n"
19,2023,3,"l"
19,2023,41,"n"
19,2023,2,"h"
18,2023,3,"l"
18,2023,1,"h"
18,2023,34,"n"
17,2023,5,"l"
17,2023,23,"n"
16,2023,40,"n"
16,2023,5,"h"
16,2023,3,"l"
15,2023,3,"h"
15,2023,7,"l"
15,2023,56,"n"
14,2023,36,"n"
14,2023,3,"l"
